q_id,q_status,q_date,q_year,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,prop_year,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
AE2-076,withdrawn,2/19/2019,2019,,4/10/2019,,PJM,,,PSEG,burlington,,,NJ,PJM,Capacity,Southampton 13.2 kV,6/1/2020,2020,Withdrawn,Withdrawn,Solar,Solar,,,2,,
AD1-002,withdrawn,4/3/2017,2017,,6/6/2018,,PJM,North Bergen I 480V,,PSEG,hudson,,,NJ,PJM,Energy,North Bergen I 480 v,1/31/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,0,,
U3-032,withdrawn,10/30/2008,2008,,8/20/2018,,PJM,Britton Road Solar Facility,,JCPL,morris,,,NJ,PJM,Capacity,Traynor 34.5kV,6/1/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,20,,
W4-032,withdrawn,12/28/2010,2010,,4/4/2012,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Energy,West Portal 4.8kV,12/22/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,2,,
AE2-237,withdrawn,3/22/2019,2019,,7/27/2022,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Vernon-Sugar Loaf #2 115 kV,3/1/2022,2022,System Impact Study,System Impact Study,Battery,Battery,,,107,,
U2-044,withdrawn,6/20/2008,2008,,11/21/2008,,PJM,,,AEC,cape may,,,NJ,PJM,Capacity,Lewis 138kV,3/1/2011,2011,Feasibility Study,Feasibility Study,Offshore Wind,Offshore Wind,,,20,,
V2-043,withdrawn,7/31/2009,2009,,3/30/2010,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Upper Deerfield Township I,6/30/2010,2010,Feasibility Study,Feasibility Study,Solar,Solar,,,12,,
E03,withdrawn,8/17/2000,2000,,10/25/2002,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Somerville 13.8kV,1/31/2001,2001,Feasibility Study,Feasibility Study,Other,Methane,,,5,,
X2-033,withdrawn,6/3/2011,2011,,1/4/2013,,PJM,Ward Avenue Solar,,PSEG,burlington,,,NJ,PJM,Capacity,Trenton 26kV,6/30/2013,2013,System Impact Study,System Impact Study,Solar,Solar,,,3,,
U2-046,withdrawn,6/23/2008,2008,,8/18/2009,,PJM,,,PSEG,essex,,,NJ,PJM,Energy,Roseland 500kV,12/1/2013,2013,Feasibility Study,Feasibility Study,Unknown,Unknown,,,0,,
X1-016,withdrawn,2/28/2011,2011,,9/16/2011,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Upper Pittsgrove 12kV,1/1/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,20,,
X1-107,withdrawn,4/29/2011,2011,,9/6/2011,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Hopatcong,2/28/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,3,,
AE2-024,withdrawn,12/14/2018,2018,,9/1/2023,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Larrabee 230 kV I,12/1/2025,2025,Facility Study,Facility Study,Offshore Wind,Offshore Wind,,,882,,
W3-146,withdrawn,10/29/2010,2010,,10/15/2014,,PJM,Kerrs Corner Road Solar Farm,,JCPL,warren,,,NJ,PJM,Capacity,Andover-Kittatinny 34.5kV,9/1/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,10,,
X3-060,withdrawn,10/10/2011,2011,,11/2/2011,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Fairfield Twp 1 12kV,9/30/2012,2012,Withdrawn,Withdrawn,Solar,Solar,,,2,,
V4-078,withdrawn,1/29/2010,2010,,3/15/2010,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Hawks Bridge Road,2/15/2011,2011,Withdrawn,Withdrawn,Solar,Solar,,,10,,
AB2-159,withdrawn,4/29/2016,2016,,12/11/2017,,PJM,,,PSEG,burlington,,,NJ,PJM,Energy,Lumberton 13kV,10/3/2016,2016,Withdrawn,Withdrawn,Solar,Solar,,,1,,
X1-003,withdrawn,2/11/2011,2011,,4/27/2012,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Belvidere,3/30/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,2,,
W3-154,withdrawn,10/29/2010,2010,,12/1/2014,,PJM,Schanzlin Solar Farm,,JCPL,warren,,,NJ,PJM,Capacity,Broadway 12kV,9/1/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,2,,
X2-071,withdrawn,7/19/2011,2011,,1/3/2012,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Beckett,5/31/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,5,,
X3-079,withdrawn,10/31/2011,2011,,12/21/2012,,PJM,Volunteer Way Solar Farm,,JCPL,ocean,,,NJ,PJM,Capacity,Oyster Creek-Waretown 34kV,6/30/2015,2015,System Impact Study,System Impact Study,Solar,Solar,,,16,,
W2-064,withdrawn,7/30/2010,2010,,1/24/2012,,PJM,Ringoes Solar Farm,,JCPL,hunterdon,,,NJ,PJM,Capacity,Ringoes 34.5kV,6/30/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,10,,
AG1-496,withdrawn,9/30/2020,2020,,3/24/2021,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,East Flemington 34.5 kV,12/17/2021,2021,Feasibility Study,Feasibility Study,Solar,Solar,,,7,,
Y1-084,withdrawn,4/30/2012,2012,,5/16/2017,,PJM,Fredon Solar Farm,,JCPL,sussex,,,NJ,PJM,Capacity,East Newton–Blairstown 34.5kV,5/30/2015,2015,System Impact Study,System Impact Study,Solar,Solar,,,2,,
AF2-058,withdrawn,1/24/2020,2020,,9/1/2020,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Fairton 12 kV,3/31/2021,2021,Feasibility Study,Feasibility Study,Solar,Solar,,,3,,
X3-017,withdrawn,8/29/2011,2011,,3/14/2012,,PJM,,,AEC,salem,,,NJ,PJM,Energy,Elsinboro Township 12kV,11/1/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,2,,
AI1-111,active,9/1/2022,2022,,,,PJM,,,JCPL,middlesex,,,NJ,PJM,Capacity,Werner 230 kV,12/31/2029,2029,In Progress,Feasibility Study,Offshore Wind,Offshore Wind,,,1310,,
AF1-324,withdrawn,9/30/2019,2019,2/1/2021,12/3/2020,,PJM,Denville Storage Facility,,JCPL,morris,,,NJ,PJM,Energy,Greystone-West Denville 34.5 kV,10/1/2021,2021,IA Executed,IA Executed,Battery,Battery,,,20,,
AB1-099,withdrawn,10/13/2015,2015,,6/16/2017,,PJM,,,PSEG,somerset,,,NJ,PJM,Energy,Sunnymeade Road 13kV,9/1/2016,2016,Not Required,In Progress (unknown study),Battery,Battery,,,2,,
X3-085,withdrawn,10/31/2011,2011,,2/27/2013,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Sussex 34kV,12/31/2013,2013,System Impact Study,System Impact Study,Solar,Solar,,,8,,
W4-018,withdrawn,11/30/2010,2010,,3/15/2013,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Monroeville 12kV,7/1/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,10,,
AB2-044,withdrawn,2/29/2016,2016,,3/17/2016,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,,7/1/2017,2017,Withdrawn,Withdrawn,Solar,Solar,,,10,,
AA2-064,withdrawn,2/27/2015,2015,,4/3/2017,,PJM,,,JCPL,sussex,,,NJ,PJM,Energy,Branchville-N. Newton #3 34.5kV,12/1/2015,2015,Facility Study,Facility Study,Battery,Battery,,,17,,
W1-092,withdrawn,4/29/2010,2010,,1/13/2011,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Mays Landing 12kV,7/21/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,9,,
AE2-197,withdrawn,3/19/2019,2019,,4/1/2019,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Energy,,10/1/2020,2020,Withdrawn,Withdrawn,Solar,Solar,,,5,,
X1-075,withdrawn,4/27/2011,2011,,9/7/2011,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Sussex 12kV,12/30/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,4,,
AE2-091,withdrawn,1/24/2019,2019,,3/31/2020,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Newport 69 kV,6/30/2022,2022,System Impact Study,System Impact Study,Solar,Solar,,,35,,
W2-051,withdrawn,7/13/2010,2010,,11/30/2010,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Woodstown 69kV,12/31/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,2,,
